id,tournament_id,stadie_id,match_order,match_ret,winner_code,winner_name,winner_citizenship,winner_age,loser_code,loser_name,loser_citizenship,loser_age,winner_seed,loser_seed,match_score,winner_sets_won,loser_sets_won,winner_games_won,loser_games_won,winner_tiebreaks_won,loser_tiebreaks_won,stats_url,match_duration,win_aces,win_double_faults,win_first_serves_in,win_first_serves_total,win_first_serve_points_won,win_first_serve_points_total,win_second_serve_points_won,win_second_serve_points_total,win_break_points_saved,win_break_points_serve_total,win_service_points_won,win_service_points_total,win_first_serve_return_won,win_first_serve_return_total,win_second_serve_return_won,win_second_serve_return_total,win_break_points_converted,win_break_points_return_total,win_service_games_played,win_return_games_played,win_return_points_won,win_return_points_total,win_total_points_won,win_total_points_total,win_winners,win_forced_errors,win_unforced_errors,win_net_points_won,win_net_points_total,win_fastest_first_serves_kmh,win_average_first_serves_kmh,win_fastest_second_serve_kmh,win_average_second_serve_kmh,los_aces,los_double_faults,los_first_serves_in,los_first_serves_total,los_first_serve_points_won,los_first_serve_points_total,los_second_serve_points_won,los_second_serve_points_total,los_break_points_saved,los_break_points_serve_total,los_service_points_won,los_service_points_total,los_first_serve_return_won,los_first_serve_return_total,los_second_serve_return_won,los_second_serve_return_total,los_break_points_converted,los_break_points_return_total,los_service_games_played,los_return_games_played,los_return_points_won,los_return_points_total,los_total_points_won,los_total_points_total,los_winners,los_forced_errors,los_unforced_errors,los_net_points_won,los_net_points_total,los_fastest_first_serves_kmh,los_average_first_serves_kmh,los_fastest_second_serve_kmh,los_average_second_serve_kmh
2021-499-gb61-df88-Q1,2021-499,Q1,2,,gb61,Viktor Galovic,CRO,30.301,df88,Aziz Dougaz,TUN,23.782,2,,64 63,2,0,12,7,0,0,http://www.atpworldtour.com/en/scores/match-stats/archive/2021/499/QS010,78,0,2,36,59,24,36,14,23,4,5,38,59,13,33,13,28,4,6,9,10,26,61,64,120,,,,,,,,,,4,2,33,61,20,33,15,28,2,6,35,61,12,36,9,23,1,5,10,9,21,59,56,120,,,,,,,,,
2021-499-hb05-bs86-Q1,2021-499,Q1,1,,hb05,Christian Harrison,USA,26.607,bs86,Tomas Barrios Vera,CHI,23.075,PR,1,64 64,2,0,12,8,0,0,http://www.atpworldtour.com/en/scores/match-stats/archive/2021/499/QS008,80,8,3,44,68,32,44,16,24,6,6,48,68,10,30,7,23,2,2,10,10,17,53,65,121,,,,,,,,,,2,1,30,53,20,30,16,23,0,2,36,53,12,44,8,24,0,6,10,10,20,68,56,121,,,,,,,,,
2021-499-k0eq-rc04-Q1,2021-499,Q1,6,(RET),k0eq,Zane Khan,USA,18.905,rc04,Alexander Ritschard,USA,26.787,WC,6,63 31 (RET),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-499-kb14-lc54-Q1,2021-499,Q1,7,,kb14,Kevin King,USA,29.86,lc54,Benjamin Lock,ZIM,27.841,7,Alt,62 63,2,0,12,5,0,0,http://www.atpworldtour.com/en/scores/match-stats/archive/2021/499/QS013,68,2,3,39,53,32,39,4,14,4,5,36,53,9,33,13,17,4,5,9,8,22,50,58,103,,,,,,,,,,1,2,33,50,24,33,4,17,1,5,28,50,7,39,10,14,1,5,8,9,17,53,45,103,,,,,,,,,
2021-499-ke64-hb31-Q1,2021-499,Q1,8,(RET),ke64,Stefan Kozlov,USA,22.932,hb31,Johannes Haerteis,GER,24.876,,8,50 (RET),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-499-o482-d0dp-Q1,2021-499,Q1,3,,o482,Goncalo Oliveira,POR,25.889,d0dp,Liam Draxl,CAN,19.088,3,WC,36 63 62,2,1,15,11,0,0,http://www.atpworldtour.com/en/scores/match-stats/archive/2021/499/QS012,107,4,4,55,81,40,55,14,26,5,7,54,81,22,65,16,27,4,11,13,13,38,92,92,173,,,,,,,,,,4,6,65,92,43,65,11,27,7,11,54,92,15,55,12,26,2,7,13,13,27,81,81,173,,,,,,,,,
2021-499-q941-e661-Q1,2021-499,Q1,5,,q941,Roberto Quiroz,ECU,28.873,e661,Gonzalo Escobar,ECU,31.965,5,Alt,64 67(6) 75,2,1,19,16,0,1,http://www.atpworldtour.com/en/scores/match-stats/archive/2021/499/QS011,143,6,4,69,106,47,69,22,37,2,5,69,106,23,69,21,36,5,8,17,17,44,105,113,211,,,,,,,,,,4,0,69,105,46,69,15,36,3,8,61,105,22,69,15,37,3,5,17,17,37,106,98,211,,,,,,,,,
2021-499-y124-sl94-Q1,2021-499,Q1,4,,y124,Donald Young,USA,31.456,sl94,Pedro Sakamoto,BRA,27.524,,4,36 64 62,2,1,15,12,0,0,http://www.atpworldtour.com/en/scores/match-stats/archive/2021/499/QS014,121,1,11,60,102,42,60,19,42,6,9,61,102,21,53,20,37,4,9,14,13,41,90,102,192,,,,,,,,,,4,2,53,90,32,53,17,37,5,9,49,90,18,60,23,42,3,9,13,14,41,102,90,192,,,,,,,,,
2021-499-hb05-k0eq-Q2,2021-499,Q2,3,,hb05,Christian Harrison,USA,26.607,k0eq,Zane Khan,USA,18.905,PR,WC,61 67(9) 76(4),2,1,19,14,1,1,http://www.atpworldtour.com/en/scores/match-stats/archive/2021/499/QS004,168,9,5,69,113,46,69,22,44,8,11,68,113,38,86,29,50,6,13,15,16,67,136,135,249,,,,,,,,,,3,6,86,136,48,86,21,50,7,13,69,136,23,69,22,44,3,11,16,15,45,113,114,249,,,,,,,,,
2021-499-kb14-o482-Q2,2021-499,Q2,2,,kb14,Kevin King,USA,29.86,o482,Goncalo Oliveira,POR,25.889,7,3,63 63,2,0,12,6,0,0,http://www.atpworldtour.com/en/scores/match-stats/archive/2021/499/QS006,59,3,1,38,49,31,38,6,11,2,2,37,49,8,31,12,21,3,6,9,9,20,52,57,101,,,,,,,,,,2,4,31,52,23,31,9,21,3,6,32,52,7,38,5,11,0,2,9,9,12,49,44,101,,,,,,,,,
2021-499-q941-gb61-Q2,2021-499,Q2,1,,q941,Roberto Quiroz,ECU,28.873,gb61,Viktor Galovic,CRO,30.301,5,2,63 75,2,0,13,8,0,0,http://www.atpworldtour.com/en/scores/match-stats/archive/2021/499/QS005,86,5,1,41,59,33,41,11,18,3,4,44,59,15,43,19,33,3,12,11,10,34,76,78,135,,,,,,,,,,2,2,43,76,28,43,14,33,9,12,42,76,8,41,7,18,1,4,10,11,15,59,57,135,,,,,,,,,
2021-499-y124-ke64-Q2,2021-499,Q2,4,,y124,Donald Young,USA,31.456,ke64,Stefan Kozlov,USA,22.932,,,46 64 64,2,1,16,14,0,0,http://www.atpworldtour.com/en/scores/match-stats/archive/2021/499/QS007,145,1,10,65,112,40,65,23,47,8,13,63,112,18,57,19,29,6,11,15,15,37,86,100,198,,,,,,,,,,1,6,57,86,39,57,10,29,5,11,49,86,25,65,24,47,5,13,15,15,49,112,98,198,,,,,,,,,
2021-499-f811-kb14-R32,2021-499,R32,5,,f811,Bjorn Fratangelo,USA,27.467,kb14,Kevin King,USA,29.86,,Q,62 62,2,0,12,4,0,0,http://www.atpworldtour.com/en/scores/match-stats/archive/2021/499/MS025,69,0,0,25,51,22,25,15,26,2,2,37,51,15,32,10,17,4,6,8,8,25,49,62,100,,,,,,,,,,2,2,32,49,17,32,7,17,2,6,24,49,3,25,11,26,0,2,8,8,14,51,38,100,,,,,,,,,
2021-499-ge33-mf35-R32,2021-499,R32,6,,ge33,Daniel Elahi Galan,COL,24.553,mf35,Andrej Martin,SVK,31.298,,,64 64,2,0,12,8,0,0,http://www.atpworldtour.com/en/scores/match-stats/archive/2021/499/MS021,81,3,2,39,64,30,39,13,25,5,6,43,64,12,36,16,28,3,7,10,10,28,64,71,128,,,,,,,,,,2,2,36,64,24,36,12,28,4,7,36,64,9,39,12,25,1,6,10,10,21,64,57,128,,,,,,,,,
2021-499-hb05-ea24-R32,2021-499,R32,7,,hb05,Christian Harrison,USA,26.607,ea24,Tomas Martin Etcheverry,ARG,21.47,Q,,64 62,2,0,12,6,0,0,http://www.atpworldtour.com/en/scores/match-stats/archive/2021/499/MS017,80,10,4,34,51,29,34,7,17,2,3,36,51,19,44,15,25,4,13,9,9,34,69,70,120,,,,,,,,,,4,3,44,69,25,44,10,25,9,13,35,69,5,34,10,17,1,3,9,9,15,51,50,120,,,,,,,,,
2021-499-k0ah-kf17-R32,2021-499,R32,8,,k0ah,Sebastian Korda,USA,20.505,kf17,Soonwoo Kwon,KOR,23.096,,,64 64,2,0,12,8,0,0,http://www.atpworldtour.com/en/scores/match-stats/archive/2021/499/MS029,93,8,1,53,88,36,53,18,35,5,6,54,88,7,29,10,21,3,4,10,10,17,50,71,138,,,,,,,,,,4,4,29,50,22,29,11,21,1,4,33,50,17,53,17,35,1,6,10,10,34,88,67,138,,,,,,,,,
2021-499-k336-a596-R32,2021-499,R32,3,,k336,Ivo Karlovic,CRO,41.86,a596,Pablo Andujar,ESP,34.956,,7,63 57 64,2,1,17,14,0,0,http://www.atpworldtour.com/en/scores/match-stats/archive/2021/499/MS023,136,27,9,63,101,51,63,15,38,2,4,66,101,22,63,16,37,3,8,16,15,38,100,104,201,,,,,,,,,,0,5,63,100,41,63,21,37,5,8,62,100,12,63,23,38,2,4,15,16,35,101,97,201,,,,,,,,,
2021-499-mj08-bd20-R32,2021-499,R32,10,,mj08,Thiago Monteiro,BRA,26.602,bd20,Thomaz Bellucci,BRA,33.021,,,63 75,2,0,13,8,0,0,http://www.atpworldtour.com/en/scores/match-stats/archive/2021/499/MS030,100,2,1,38,67,28,38,16,29,8,9,44,67,17,42,15,27,4,6,10,11,32,69,76,136,,,,,,,,,,3,3,42,69,25,42,12,27,2,6,37,69,10,38,13,29,1,9,11,10,23,67,60,136,,,,,,,,,
2021-499-ml57-h940-R32,2021-499,R32,9,,ml57,Gianluca Mager,ITA,26.099,h940,Ryan Harrison,USA,28.666,,WC,36 61 64,2,1,15,11,0,0,http://www.atpworldtour.com/en/scores/match-stats/archive/2021/499/MS018,115,9,3,66,93,51,66,12,27,12,13,63,93,10,44,23,40,3,6,13,13,33,84,96,177,,,,,,,,,,4,4,44,84,34,44,17,40,3,6,51,84,15,66,15,27,1,13,13,13,30,93,81,177,,,,,,,,,
2021-499-n771-ab71-R32,2021-499,R32,11,,n771,Cameron Norrie,GBR,25.373,ab71,JC Aragone,USA,25.526,,WC,62 61,2,0,12,3,0,0,http://www.atpworldtour.com/en/scores/match-stats/archive/2021/499/MS026,67,3,2,31,48,26,31,10,17,3,3,36,48,15,28,12,19,4,8,8,7,27,47,63,95,,,,,,,,,,2,2,28,47,13,28,7,19,4,8,20,47,5,31,7,17,0,3,7,8,12,48,32,95,,,,,,,,,
2021-499-pl56-n652-R32,2021-499,R32,1,,pl56,Tommy Paul,USA,23.639,n652,JiSung Nam,KOR,27.395,5,,61 64,2,0,12,5,0,0,http://www.atpworldtour.com/en/scores/match-stats/archive/2021/499/MS028,67,5,0,38,59,26,38,13,21,2,3,39,59,11,27,14,24,4,6,9,8,25,51,64,110,,,,,,,,,,2,4,27,51,16,27,10,24,2,6,26,51,12,38,8,21,1,3,8,9,20,59,46,110,,,,,,,,,
2021-499-q927-mk66-R32,2021-499,R32,2,,q927,Sam Querrey,USA,33.25,mk66,Mackenzie McDonald,USA,25.725,6,,63 64,2,0,12,7,0,0,http://www.atpworldtour.com/en/scores/match-stats/archive/2021/499/MS019,70,13,2,36,66,30,36,14,30,6,7,44,66,13,32,8,20,3,6,10,9,21,52,65,118,,,,,,,,,,4,2,32,52,19,32,12,20,3,6,31,52,6,36,16,30,1,7,9,10,22,66,53,118,,,,,,,,,
2021-499-q941-rc96-R32,2021-499,R32,12,,q941,Roberto Quiroz,ECU,28.873,rc96,Noah Rubin,USA,24.879,Q,WC,76(1) 63,2,0,13,9,1,0,http://www.atpworldtour.com/en/scores/match-stats/archive/2021/499/MS022,89,7,2,32,58,24,32,12,26,1,4,36,58,11,35,20,31,5,7,10,11,31,66,67,124,,,,,,,,,,5,6,35,66,24,35,11,31,2,7,35,66,8,32,14,26,3,4,11,10,22,58,57,124,,,,,,,,,
