code,url,first_name,last_name,slug,birth_date,birthplace,turned_pro,weight,height,residence,handedness,backhand,citizenship,code_dc,url_dc
0,https://www.atptour.com/en/players/undefined-bye/0/overview,Undefined,Bye,undefined-bye,,,,,,,,,,,
a006,https://www.atptour.com/en/players/ronald-agenor/a006/overview,Ronald,Agenor,ronald-agenor,19641113,"Rabat, Morocco",1983,82,180,"Beverly Hills, California, USA",Right-Handed,Unknown Backhand,HAI,800177724,https://media.itfdataservices.com/player/dc/en/800177724
a041,https://www.atptour.com/en/players/marcos-vinicius-azevedo-silva/a041/overview,Marcos Vinicius,Azevedo Silva,marcos-vinicius-azevedo-silva,19950320,,,,,,Right-Handed,Unknown Backhand,BRA,,
a092,https://www.atptour.com/en/players/andre-agassi/a092/overview,Andre,Agassi,andre-agassi,19700429,"Las Vegas, Nevada, USA",1986,80,180,"Las Vegas, Nevada, USA",Right-Handed,Two-Handed Backhand,USA,800178995,https://media.itfdataservices.com/player/dc/en/800178995
a09p,https://www.atptour.com/en/players/alafia-ayeni/a09p/overview,Alafia,Ayeni,alafia-ayeni,19990810,,,82,191,,Right-Handed,Unknown Backhand,USA,,
a09q,https://www.atptour.com/en/players/mert-alkaya/a09q/overview,Mert,Alkaya,mert-alkaya,20000614,,,,,,,,TUR,,
a09r,https://www.atptour.com/en/players/umut-akkoyun/a09r/overview,Umut,Akkoyun,umut-akkoyun,20000710,,,,,,,,TUR,,
a09s,https://www.atptour.com/en/players/filip-ambrozy/a09s/overview,Filip,Ambrozy,filip-ambrozy,20000822,,,,,,Right-Handed,Two-Handed Backhand,POL,,
a09t,https://www.atptour.com/en/players/dan-added/a09t/overview,Dan,Added,dan-added,19990413,,,72,183,,Right-Handed,Unknown Backhand,FRA,,
a09u,https://www.atptour.com/en/players/nicolas-alvarez-varona/a09u/overview,Nicolas,Alvarez Varona,nicolas-alvarez-varona,20010518,,,80,188,,Right-Handed,Two-Handed Backhand,ESP,,
a09w,https://www.atptour.com/en/players/juan-carlos-manuel-aguilar/a09w/overview,Juan Carlos Manuel,Aguilar,juan-carlos-manuel-aguilar,19981120,,,60,168,,Right-Handed,Two-Handed Backhand,BOL,800354359,https://media.itfdataservices.com/player/dc/en/800354359
a0a7,https://www.atptour.com/en/players/jorge-abde-celis/a0a7/overview,Jorge,Abde Celis,jorge-abde-celis,19971023,,,,,,,,CHI,,
a0aa,https://www.atptour.com/en/players/jakob-amilon/a0aa/overview,Jakob,Amilon,jakob-amilon,19940531,,,,,,,,SWE,,
a0ab,https://www.atptour.com/en/players/adrian-andreev/a0ab/overview,Adrian,Andreev,adrian-andreev,20010512,,,66,180,,Right-Handed,Two-Handed Backhand,BUL,800368244,https://media.itfdataservices.com/player/dc/en/800368244
a0ac,https://www.atptour.com/en/players/guillermo-arrambide/a0ac/overview,Guillermo,Arrambide,guillermo-arrambide,19960312,,,,,,,,MEX,,
a0ag,https://www.atptour.com/en/players/francisco-aranguren/a0ag/overview,Francisco,Aranguren,francisco-aranguren,19981215,,,,,,,,ARG,,
a0am,https://www.atptour.com/en/players/carlos-arana/a0am/overview,Carlos,Arana,carlos-arana,19950213,,,,,,,,PAN,,
a0an,https://www.atptour.com/en/players/cengiz-aksu/a0an/overview,Cengiz,Aksu,cengiz-aksu,19980730,,,74,183,,Right-Handed,Two-Handed Backhand,TUR,,
a0ao,https://www.atptour.com/en/players/alen-avidzba/a0ao/overview,Alen,Avidzba,alen-avidzba,20000224,,,76,188,,Right-Handed,Two-Handed Backhand,RUS,,
a0at,https://www.atptour.com/en/players/sebastian-arcila/a0at/overview,Sebastian,Arcila,sebastian-arcila,19980626,,,,,,,,PUR,800374933,https://media.itfdataservices.com/player/dc/en/800374933
a0ay,https://www.atptour.com/en/players/mohamed-abdel-aziz/a0ay/overview,Mohamed,Abdel-Aziz,mohamed-abdel-aziz,19981221,,,,,,,,EGY,,
a0b6,https://www.atptour.com/en/players/jaimee-floyd-angele/a0b6/overview,Jaimee Floyd,Angele,jaimee-floyd-angele,20000327,,,93,206,,Right-Handed,Two-Handed Backhand,FRA,,
a0ba,https://www.atptour.com/en/players/federico-arnaboldi/a0ba/overview,Federico,Arnaboldi,federico-arnaboldi,20000618,,,81,185,,Right-Handed,Two-Handed Backhand,ITA,,
a0bc,https://www.atptour.com/en/players/vittorio-angeli/a0bc/overview,Vittorio,Angeli,vittorio-angeli,,,,,,,,,ITA,,
a0bf,https://www.atptour.com/en/players/suk-hee-ann/a0bf/overview,Suk Hee,Ann,suk-hee-ann,20000804,,,,,,,,KOR,,
a0bg,https://www.atptour.com/en/players/jakob-aichhorn/a0bg/overview,Jakob,Aichhorn,jakob-aichhorn,19980922,,,,,,,,AUT,,
a0bk,https://www.atptour.com/en/players/david-lucas-ambrozic/a0bk/overview,David Lucas,Ambrozic,david-lucas-ambrozic,19990212,,,,,,,,SLO,,
a0bo,https://www.atptour.com/en/players/lucas-agra/a0bo/overview,Lucas,Agra,lucas-agra,19970807,,,,,,,,BRA,,
a0bq,https://www.atptour.com/en/players/amadatus-admiraal/a0bq/overview,Amadatus,Admiraal,amadatus-admiraal,20000312,,,,,,,,NED,,
a0br,https://www.atptour.com/en/players/baptiste-anselmo/a0br/overview,Baptiste,Anselmo,baptiste-anselmo,20010614,,,,,,,,FRA,,
a0bw,https://www.atptour.com/en/players/joao-pedro-alcantara/a0bw/overview,Joao Pedro,Alcantara,joao-pedro-alcantara,20000808,,,,,,,,BRA,,
a0by,https://www.atptour.com/en/players/alec-adamson/a0by/overview,Alec,Adamson,alec-adamson,19940830,,,88,196,,Right-Handed,Two-Handed Backhand,USA,,
a0bz,https://www.atptour.com/en/players/azizbek-akhmadjonov/a0bz/overview,Azizbek,Akhmadjonov,azizbek-akhmadjonov,19970609,,,,,,Left-Handed,,UZB,,
a0c1,https://www.atptour.com/en/players/ricardo-alban/a0c1/overview,Ricardo,Alban,ricardo-alban,20010110,,,,,,,,ECU,,
