id,name,year,code,url,slug,location,sgl_draw_url,sgl_pdf_url,indoor_outdoor,surface,series_id,start_dtm,finish_dtm,sgl_draw_qty,dbl_draw_qty,prize_money,prize_currency,country_code
1999-451,Doha,1999,451,http://www.atpworldtour.com/en/scores/archive/doha/451/1999/results,doha,Doha,http://www.atpworldtour.com/en/scores/archive/doha/451/1999/draws,http://www.protennislive.com/posting/1999/451/mds.pdf,Outdoor,Hard,atp,19990104,,32,32,1000000,$,QAT
1999-7308,Adelaide,1999,7308,http://www.atpworldtour.com/en/scores/archive/adelaide/7308/1999/results,adelaide,Adelaide,http://www.atpworldtour.com/en/scores/archive/adelaide/7308/1999/draws,http://www.protennislive.com/posting/1999/7308/mds.pdf,Outdoor,Hard,atp,19990104,,32,32,350000,$,AUS
1999-301,Auckland,1999,301,http://www.atpworldtour.com/en/scores/archive/auckland/301/1999/results,auckland,Auckland,http://www.atpworldtour.com/en/scores/archive/auckland/301/1999/draws,http://www.protennislive.com/posting/1999/301/mds.pdf,Outdoor,Hard,atp,19990111,,32,32,350000,$,NZL
1999-338,Sydney,1999,338,http://www.atpworldtour.com/en/scores/archive/sydney/338/1999/results,sydney,Sydney,http://www.atpworldtour.com/en/scores/archive/sydney/338/1999/draws,http://www.protennislive.com/posting/1999/338/mds.pdf,Outdoor,Hard,atp,19990111,,32,32,350000,$,AUS
1999-580,Australian Open,1999,580,http://www.atpworldtour.com/en/scores/archive/australian-open/580/1999/results,australian-open,Melbourne,http://www.atpworldtour.com/en/scores/archive/australian-open/580/1999/draws,http://www.protennislive.com/posting/1999/580/mds.pdf,Outdoor,Hard,gs,19990118,,128,128,3539387,$,AUS
1999-460,Heilbronn,1999,460,http://www.atpworldtour.com/en/scores/archive/heilbronn/460/1999/results,heilbronn,Heilbronn,http://www.atpworldtour.com/en/scores/archive/heilbronn/460/1999/draws,http://www.protennislive.com/posting/1999/460/mds.pdf,Indoor,Carpet,ch,19990125,,32,32,100000,$,GER
1999-244,Amarillo,1999,244,http://www.atpworldtour.com/en/scores/archive/amarillo/244/1999/results,amarillo,Amarillo,http://www.atpworldtour.com/en/scores/archive/amarillo/244/1999/draws,http://www.protennislive.com/posting/1999/244/mds.pdf,Indoor,Hard,ch,19990201,,32,32,50000,$,USA
1999-496,Marseille,1999,496,http://www.atpworldtour.com/en/scores/archive/marseille/496/1999/results,marseille,Marseille,http://www.atpworldtour.com/en/scores/archive/marseille/496/1999/draws,http://www.protennislive.com/posting/1999/496/mds.pdf,Indoor,Hard,atp,19990201,,32,32,539250,$,FRA
1999-565,Hamburg,1999,565,http://www.atpworldtour.com/en/scores/archive/hamburg/565/1999/results,hamburg,Hamburg,http://www.atpworldtour.com/en/scores/archive/hamburg/565/1999/draws,http://www.protennislive.com/posting/1999/565/mds.pdf,Indoor,Carpet,ch,19990201,,32,32,25000,$,GER
1999-582,Punta Del Este,1999,582,http://www.atpworldtour.com/en/scores/archive/punta-del-este/582/1999/results,punta-del-este,Punta Del Este,http://www.atpworldtour.com/en/scores/archive/punta-del-este/582/1999/draws,http://www.protennislive.com/posting/1999/582/mds.pdf,Outdoor,Clay,ch,19990201,,32,32,25000,$,URU
