id,tournament_id,stadie_id,match_order,match_ret,winner_id,winner_name,winner_citizenship,winner_age,loser_id,loser_name,loser_citizenship,loser_age,match_score,winner_sets_won,loser_sets_won,winner_games_won,loser_games_won,winner_tiebreaks_won,loser_tiebreaks_won,stats_url,match_duration,win_aces,win_double_faults,win_first_serves_in,win_first_serves_total,win_first_serve_points_won,win_first_serve_points_total,win_second_serve_points_won,win_second_serve_points_total,win_break_points_saved,win_break_points_serve_total,win_service_points_won,win_service_points_total,win_first_serve_return_won,win_first_serve_return_total,win_second_serve_return_won,win_second_serve_return_total,win_break_points_converted,win_break_points_return_total,win_service_games_played,win_return_games_played,win_return_points_won,win_return_points_total,win_total_points_won,win_total_points_total,win_winners,win_forced_errors,win_unforced_errors,win_net_points_won,win_net_points_total,win_fastest_first_serves_kmh,win_average_first_serves_kmh,win_fastest_second_serve_kmh,win_average_second_serve_kmh,los_aces,los_double_faults,los_first_serves_in,los_first_serves_total,los_first_serve_points_won,los_first_serve_points_total,los_second_serve_points_won,los_second_serve_points_total,los_break_points_saved,los_break_points_serve_total,los_service_points_won,los_service_points_total,los_first_serve_return_won,los_first_serve_return_total,los_second_serve_return_won,los_second_serve_return_total,los_break_points_converted,los_break_points_return_total,los_service_games_played,los_return_games_played,los_return_points_won,los_return_points_total,los_total_points_won,los_total_points_total,los_winners,los_forced_errors,los_unforced_errors,los_net_points_won,los_net_points_total,los_fastest_first_serves_kmh,los_average_first_serves_kmh,los_fastest_second_serve_kmh,los_average_second_serve_kmh
1999-M-DC-1999-G4-AO-A-M-BRU-UAE-01-800191661-800204776-RR,1999-M-DC-1999-G4-AO-A-M-BRU-UAE-01,RR,1,,800191661,Othman Al ulama,UAE,22.309,800204776,Hardiyamin Baharuddin,BRU,17.631,62 46 62,2,1,16,10,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-1999-G4-AO-A-M-BRU-UAE-01_1.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-M-DC-1999-G4-AO-A-M-BRU-UAE-01-800200368-800199227-RR,1999-M-DC-1999-G4-AO-A-M-BRU-UAE-01,RR,2,,800200368,Omar Alawadhi,UAE,17.048,800199227,Sharill Teo,BRU,16.494,62 60,2,0,12,2,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-1999-G4-AO-A-M-BRU-UAE-01_2.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-M-DC-1999-G4-AO-A-M-IRQ-SIN-01-800181772-800210174-RR,1999-M-DC-1999-G4-AO-A-M-IRQ-SIN-01,RR,1,,800181772,Tung Yi Kho,SGP,27.04,800210174,Mohammed-Ahmed Ibrahim,IRQ,26.959,63 75,2,0,13,8,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-1999-G4-AO-A-M-IRQ-SIN-01_1.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-M-DC-1999-G4-AO-A-M-IRQ-SIN-01-800210178-800200289-RR,1999-M-DC-1999-G4-AO-A-M-IRQ-SIN-01,RR,2,,800210178,Saddam-Hussain Kadhim,IRQ,25.811,800200289,Sian Yang,SGP,19.795,63 62,2,0,12,5,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-1999-G4-AO-A-M-IRQ-SIN-01_2.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-M-DC-1999-G4-AO-B-M-FIJ-OMA-01-800184924-800200369-RR,1999-M-DC-1999-G4-AO-B-M-FIJ-OMA-01,RR,1,,800184924,Mudrik Al rawahi,OMA,19.607,800200369,Hitesh Morriswala,FIJ,23.79,62 61,2,0,12,3,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-1999-G4-AO-B-M-FIJ-OMA-01_1.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-M-DC-1999-G4-AO-B-M-FIJ-OMA-01-800203351-800185396-RR,1999-M-DC-1999-G4-AO-B-M-FIJ-OMA-01,RR,2,,800203351,Khalid Al Nabhani,OMA,16.419,800185396,Sanjeev Tikaram,POC,26.841,63 64,2,0,12,7,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-1999-G4-AO-B-M-FIJ-OMA-01_2.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-M-DC-1999-G4-AO-B-M-JOR-KUW-01-800184745-800194159-RR,1999-M-DC-1999-G4-AO-B-M-JOR-KUW-01,RR,1,,800184745,Hussain Al ashwak,KUW,22.462,800194159,Ahmed Ibrahim Ahmad Alhadid,JOR,17.655,63 36 64,2,1,15,13,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-1999-G4-AO-B-M-JOR-KUW-01_1.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-M-DC-1999-G4-AO-B-M-JOR-KUW-01-800198476-800182883-RR,1999-M-DC-1999-G4-AO-B-M-JOR-KUW-01,RR,2,,800198476,Mohammad Ghareeb,KUW,18.532,800182883,Laith Azzouni,JOR,21.217,61 60,2,0,12,1,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-1999-G4-AO-B-M-JOR-KUW-01_2.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-M-DC-1999-G4-AO-A-M-BRU-SIN-01-800181772-800204776-RR,1999-M-DC-1999-G4-AO-A-M-BRU-SIN-01,RR,1,,800181772,Tung Yi Kho,SGP,27.043,800204776,Hardiyamin Baharuddin,BRU,17.634,61 60,2,0,12,1,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-1999-G4-AO-A-M-BRU-SIN-01_1.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-M-DC-1999-G4-AO-A-M-BRU-SIN-01-800215069-800199227-RR,1999-M-DC-1999-G4-AO-A-M-BRU-SIN-01,RR,2,,800215069,Jun Ong,SGP,17.712,800199227,Sharill Teo,BRU,16.497,61 62,2,0,12,3,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-1999-G4-AO-A-M-BRU-SIN-01_2.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
