id,tournament_id,stadie_id,match_order,match_ret,winner_code,winner_name,winner_citizenship,winner_age,loser_code,loser_name,loser_citizenship,loser_age,winner_seed,loser_seed,match_score,winner_sets_won,loser_sets_won,winner_games_won,loser_games_won,winner_tiebreaks_won,loser_tiebreaks_won,stats_url,match_duration,win_aces,win_double_faults,win_first_serves_in,win_first_serves_total,win_first_serve_points_won,win_first_serve_points_total,win_second_serve_points_won,win_second_serve_points_total,win_break_points_saved,win_break_points_serve_total,win_service_points_won,win_service_points_total,win_first_serve_return_won,win_first_serve_return_total,win_second_serve_return_won,win_second_serve_return_total,win_break_points_converted,win_break_points_return_total,win_service_games_played,win_return_games_played,win_return_points_won,win_return_points_total,win_total_points_won,win_total_points_total,win_winners,win_forced_errors,win_unforced_errors,win_net_points_won,win_net_points_total,win_fastest_first_serves_kmh,win_average_first_serves_kmh,win_fastest_second_serve_kmh,win_average_second_serve_kmh,los_aces,los_double_faults,los_first_serves_in,los_first_serves_total,los_first_serve_points_won,los_first_serve_points_total,los_second_serve_points_won,los_second_serve_points_total,los_break_points_saved,los_break_points_serve_total,los_service_points_won,los_service_points_total,los_first_serve_return_won,los_first_serve_return_total,los_second_serve_return_won,los_second_serve_return_total,los_break_points_converted,los_break_points_return_total,los_service_games_played,los_return_games_played,los_return_points_won,los_return_points_total,los_total_points_won,los_total_points_total,los_winners,los_forced_errors,los_unforced_errors,los_net_points_won,los_net_points_total,los_fastest_first_serves_kmh,los_average_first_serves_kmh,los_fastest_second_serve_kmh,los_average_second_serve_kmh
2016-M-DC-2016-G3-EUR-A-M-MDA-SMR-01-a829-dc25-RR,2016-M-DC-2016-G3-EUR-A-M-MDA-SMR-01,RR,2,,a829,Radu Albot,MDA,26.309,dc25,Marco De Rossi,SMR,18.682,,,60 62,2,0,12,2,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2016-G3-EUR-A-M-MDA-SMR-01_2.json,56,3,0,27,43,18,27,13,16,3,3,56,43,8,23,19,23,5,7,,,27,46,58,89,0,0,0,0,0,,,,,1,4,23,46,15,23,4,23,2,7,50,46,9,27,3,16,0,3,,,12,43,31,89,0,0,0,0,0,,,,
2016-M-DC-2016-G3-EUR-C-M-MNE-AND-01-ce60-r628-RR,2016-M-DC-2016-G3-EUR-C-M-MNE-AND-01,RR,2,,ce60,Ljubomir Celebic,MNE,24.465,r628,Laurent Recouderc,AND,31.645,,,64 57 64,2,1,17,15,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2016-G3-EUR-C-M-MNE-AND-01_2.json,115,9,4,64,109,46,64,19,45,5,9,128,109,26,66,11,26,5,9,,,37,92,102,201,0,0,0,0,0,,,,,2,2,66,92,40,66,15,26,4,9,107,92,18,64,26,45,4,9,,,44,109,99,201,0,0,0,0,0,,,,
2016-M-DC-2016-G3-EUR-C-M-MNE-AND-01-p992-c09t-RR,2016-M-DC-2016-G3-EUR-C-M-MNE-AND-01,RR,1,,p992,Jean-Baptiste Poux-Gautier,AND,34.752,c09t,Rrezart Cungu,MNE,17.623,,,63 75,2,0,13,8,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2016-G3-EUR-C-M-MNE-AND-01_1.json,89,4,3,38,60,27,38,11,22,2,4,71,60,14,42,19,31,5,12,,,33,73,71,133,0,0,0,0,0,,,,,5,7,42,73,28,42,12,31,7,12,85,73,11,38,11,22,2,4,,,22,60,62,133,0,0,0,0,0,,,,
2016-M-DC-2016-G3-EUR-C-M-CYP-AND-01-b837-p992-RR,2016-M-DC-2016-G3-EUR-C-M-CYP-AND-01,RR,2,,b837,Marcos Baghdatis,CYP,30.712,p992,Jean-Baptiste Poux-Gautier,AND,34.755,,,62 60,2,0,12,2,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2016-G3-EUR-C-M-CYP-AND-01_2.json,56,2,1,25,37,20,25,8,12,0,0,45,37,18,33,9,17,5,10,,,27,50,55,87,0,0,0,0,0,,,,,0,0,33,50,15,33,8,17,5,10,58,50,5,25,4,12,0,0,,,9,37,32,87,0,0,0,0,0,,,,
2016-M-DC-2016-G1-AM-M-BAR-ECU-01-e701-kc86-RR,2016-M-DC-2016-G1-AM-M-BAR-ECU-01,RR,2,,e701,Ivan Endara,ECU,28,kc86,Darian King,BAR,23.857,,,61 62 64,3,0,18,7,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2016-G1-AM-M-BAR-ECU-01_2.json,149,0,3,62,87,45,62,13,25,7,9,100,87,24,53,22,33,7,13,,,46,86,104,173,0,0,0,0,0,,,,,0,2,53,86,29,53,11,33,6,13,97,86,17,62,12,25,2,9,,,29,87,69,173,0,0,0,0,0,,,,
2016-M-DC-2016-G1-AM-M-CHI-DOM-01-lb07-h896-RR,2016-M-DC-2016-G1-AM-M-CHI-DOM-01,RR,2,,lb07,Gonzalo Lama,CHI,22.854,h896,Jose Hernandez-Fernandez,DOM,25.975,,,63 76(3) 75,3,0,20,14,1,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2016-G1-AM-M-CHI-DOM-01_2.json,133,4,1,72,104,57,72,18,32,3,4,122,104,20,75,15,25,3,8,,,35,100,110,204,0,0,0,0,0,,,,,3,4,75,100,55,75,10,25,5,8,110,100,15,72,14,32,1,4,,,29,104,94,204,0,0,0,0,0,,,,
2016-M-DC-2016-G1-AM-M-CHI-DOM-01-lb07-o634-RR,2016-M-DC-2016-G1-AM-M-CHI-DOM-01,RR,5,,lb07,Gonzalo Lama,CHI,22.854,o634,Jose Olivares,DOM,19.155,,,64 60,2,0,12,4,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2016-G1-AM-M-CHI-DOM-01_5.json,58,1,0,32,47,24,32,11,15,4,4,58,47,17,34,8,17,4,6,,,25,51,60,98,0,0,0,0,0,,,,,1,0,34,51,17,34,9,17,2,6,60,51,8,32,4,15,0,4,,,12,47,38,98,0,0,0,0,0,,,,
2016-M-DC-2016-G1-AM-M-CHI-DOM-01-pb37-o634-RR,2016-M-DC-2016-G1-AM-M-CHI-DOM-01,RR,1,,pb37,Hans Podlipnik-Castillo,CHI,28.153,o634,Jose Olivares,DOM,19.155,,,61 61 76(4),3,0,19,8,1,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2016-G1-AM-M-CHI-DOM-01_1.json,128,0,2,55,86,47,55,15,31,2,3,101,86,27,64,17,31,6,16,,,44,95,106,181,0,0,0,0,0,,,,,3,4,64,95,37,64,14,31,10,16,109,95,8,55,16,31,1,3,,,24,86,75,181,0,0,0,0,0,,,,
2016-M-DC-2016-G1-AO-M-NZL-KOR-01-ch27-sf89-RR,2016-M-DC-2016-G1-AO-M-NZL-KOR-01,RR,4,,ch27,Hyeon Chung,KOR,19.793,sf89,Rubin Statham,NZL,28.86,,,62 64 62,3,0,18,8,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2016-G1-AO-M-NZL-KOR-01_4.json,110,2,0,45,72,33,45,18,27,2,4,90,72,16,40,20,30,7,8,,,36,70,87,142,0,0,0,0,0,,,,,6,5,40,70,24,40,10,30,1,8,80,70,12,45,9,27,2,4,,,21,72,55,142,0,0,0,0,0,,,,
2016-M-DC-2016-G1-AO-M-NZL-KOR-01-ch27-v576-RR,2016-M-DC-2016-G1-AO-M-NZL-KOR-01,RR,2,,ch27,Hyeon Chung,KOR,19.793,v576,Michael Venus,NZL,28.384,,,64 75 61,3,0,19,10,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2016-G1-AO-M-NZL-KOR-01_2.json,138,8,1,47,69,37,47,18,22,1,2,87,69,20,66,48,75,6,25,,,68,141,123,210,0,0,0,0,0,,,,,19,14,66,141,46,66,27,75,19,25,168,141,10,47,4,22,1,2,,,14,69,87,210,0,0,0,0,0,,,,
