id,tournament_id,stadie_id,match_order,match_ret,winner_id,winner_name,winner_citizenship,winner_age,loser_id,loser_name,loser_citizenship,loser_age,match_score,winner_sets_won,loser_sets_won,winner_games_won,loser_games_won,winner_tiebreaks_won,loser_tiebreaks_won,stats_url,match_duration,win_aces,win_double_faults,win_first_serves_in,win_first_serves_total,win_first_serve_points_won,win_first_serve_points_total,win_second_serve_points_won,win_second_serve_points_total,win_break_points_saved,win_break_points_serve_total,win_service_points_won,win_service_points_total,win_first_serve_return_won,win_first_serve_return_total,win_second_serve_return_won,win_second_serve_return_total,win_break_points_converted,win_break_points_return_total,win_service_games_played,win_return_games_played,win_return_points_won,win_return_points_total,win_total_points_won,win_total_points_total,win_winners,win_forced_errors,win_unforced_errors,win_net_points_won,win_net_points_total,win_fastest_first_serves_kmh,win_average_first_serves_kmh,win_fastest_second_serve_kmh,win_average_second_serve_kmh,los_aces,los_double_faults,los_first_serves_in,los_first_serves_total,los_first_serve_points_won,los_first_serve_points_total,los_second_serve_points_won,los_second_serve_points_total,los_break_points_saved,los_break_points_serve_total,los_service_points_won,los_service_points_total,los_first_serve_return_won,los_first_serve_return_total,los_second_serve_return_won,los_second_serve_return_total,los_break_points_converted,los_break_points_return_total,los_service_games_played,los_return_games_played,los_return_points_won,los_return_points_total,los_total_points_won,los_total_points_total,los_winners,los_forced_errors,los_unforced_errors,los_net_points_won,los_net_points_total,los_fastest_first_serves_kmh,los_average_first_serves_kmh,los_fastest_second_serve_kmh,los_average_second_serve_kmh
2025-M-DC-2025-QLS-M-NOR-ARG-01-800338263-800432971-RR,2025-M-DC-2025-QLS-M-NOR-ARG-01,RR,4,,800338263,Casper Ruud,NOR,26.104,800432971,Tomas Martin Etcheverry,ARG,25.532,63 63,2,0,12,6,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2025-QLS-M-NOR-ARG-01_4.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-M-DC-2025-QLS-M-NOR-ARG-01-800338263-800522943-RR,2025-M-DC-2025-QLS-M-NOR-ARG-01,RR,2,,800338263,Casper Ruud,NOR,26.104,800522943,Mariano Navone,ARG,23.924,63 63,2,0,12,6,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2025-QLS-M-NOR-ARG-01_2.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-M-DC-2025-QLS-M-NOR-ARG-01-800432971-800573678-RR,2025-M-DC-2025-QLS-M-NOR-ARG-01,RR,1,,800432971,Tomas Martin Etcheverry,ARG,25.532,800573678,Nicolai Budkov kjaer,NOR,18.411,75 26 76(5),2,1,16,17,1,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2025-QLS-M-NOR-ARG-01_1.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-M-DC-2025-QLS-M-NOR-ARG-01-800522943-800573678-RR,2025-M-DC-2025-QLS-M-NOR-ARG-01,RR,5,,800522943,Mariano Navone,ARG,23.924,800573678,Nicolai Budkov kjaer,NOR,18.411,46 63 64,2,1,16,13,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2025-QLS-M-NOR-ARG-01_5.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-M-DC-2025-QLS-M-AUS-SWE-01-800327259-800466383-RR,2025-M-DC-2025-QLS-M-AUS-SWE-01,RR,2,,800327259,Aleksandar Vukic,AUS,28.817,800466383,Leo Borg,SWE,21.709,64 64,2,0,12,8,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2025-QLS-M-AUS-SWE-01_2.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-M-DC-2025-QLS-M-AUS-SWE-01-800351626-800339218-RR,2025-M-DC-2025-QLS-M-AUS-SWE-01,RR,1,,800351626,Alex de Minaur,AUS,25.954,800339218,Mikael Ymer,SWE,26.392,75 61,2,0,13,6,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2025-QLS-M-AUS-SWE-01_1.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-M-DC-2025-QLS-M-AUS-SWE-01-800466383-800265200-RR,2025-M-DC-2025-QLS-M-AUS-SWE-01,RR,4,,800466383,Leo Borg,SWE,21.709,800265200,John Peers,AUS,36.516,75 64,2,0,13,9,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2025-QLS-M-AUS-SWE-01_4.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-M-DC-2025-QLS-M-AUT-FIN-01-800361404-800336922-RR,2025-M-DC-2025-QLS-M-AUT-FIN-01,RR,2,,800361404,Jurij Rodionov,AUT,25.706,800336922,Eero Vasa,FIN,27.997,26 63 63,2,1,14,12,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2025-QLS-M-AUT-FIN-01_2.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-M-DC-2025-QLS-M-AUT-FIN-01-800392402-800336922-RR,2025-M-DC-2025-QLS-M-AUT-FIN-01,RR,4,,800392402,Filip Misolic,AUT,23.478,800336922,Eero Vasa,FIN,27.997,64 60,2,0,12,4,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2025-QLS-M-AUT-FIN-01_4.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-M-DC-2025-QLS-M-AUT-FIN-01-800418135-800386869-RR,2025-M-DC-2025-QLS-M-AUT-FIN-01,RR,1,,800418135,Lukas Neumayer,AUT,22.4,800386869,Otto Virtanen,FIN,23.61,64 67(4) 63,2,1,18,14,0,1,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2025-QLS-M-AUT-FIN-01_1.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
