id,name,year,code,url,slug,location,sgl_draw_url,sgl_pdf_url,indoor_outdoor,surface,series_id,series_category_id,start_dtm,finish_dtm,sgl_draw_qty,dbl_draw_qty,prize_money,prize_currency,country_code
1999-M-DC-1999-G1-AO-M-NZL-CHN-01,"Group I, Asia/Oceania",1999,M-DC-1999-G1-AO-M-NZL-CHN-01,https://www.daviscup.com/en/draws-results/tie.aspx?id=M-DC-1999-G1-AO-M-NZL-CHN-01,,Shen Zhen,,,Outdoor,Hard,dc,dc,19990205,19990207,,,,,CHN
1999-M-DC-1999-G1-AMN-M-BAH-CHI-01,"Group I, American",1999,M-DC-1999-G1-AMN-M-BAH-CHI-01,https://www.daviscup.com/en/draws-results/tie.aspx?id=M-DC-1999-G1-AMN-M-BAH-CHI-01,,Nassau,,,Outdoor,Hard,dc,dc,19990212,19990214,,,,,BAH
1999-M-DC-1999-G1-AMN-M-COL-CAN-01,"Group I, American",1999,M-DC-1999-G1-AMN-M-COL-CAN-01,https://www.daviscup.com/en/draws-results/tie.aspx?id=M-DC-1999-G1-AMN-M-COL-CAN-01,,Cali,,,Outdoor,Clay,dc,dc,19990212,19990214,,,,,COL
1999-M-DC-1999-G1-AMN-M-VEN-ECU-01,"Group I, American",1999,M-DC-1999-G1-AMN-M-VEN-ECU-01,https://www.daviscup.com/en/draws-results/tie.aspx?id=M-DC-1999-G1-AMN-M-VEN-ECU-01,,Salinas,,,Outdoor,Clay,dc,dc,19990212,19990214,,,,,ECU
1999-M-DC-1999-G1-AO-M-LBN-JPN-01,"Group I, Asia/Oceania",1999,M-DC-1999-G1-AO-M-LBN-JPN-01,https://www.daviscup.com/en/draws-results/tie.aspx?id=M-DC-1999-G1-AO-M-LBN-JPN-01,,Zouk Mikail,,,Indoor,Hard,dc,dc,19990212,19990214,,,,,LBN
1999-M-DC-1999-G1-AO-M-PAK-UZB-01,"Group I, Asia/Oceania",1999,M-DC-1999-G1-AO-M-PAK-UZB-01,https://www.daviscup.com/en/draws-results/tie.aspx?id=M-DC-1999-G1-AO-M-PAK-UZB-01,,Tashkent,,,Indoor,Hard,dc,dc,19990212,19990214,,,,,UZB
1999-M-DC-1999-G1-EA-M-UKR-BLR-01,"Group I, Euro/African",1999,M-DC-1999-G1-EA-M-UKR-BLR-01,https://www.daviscup.com/en/draws-results/tie.aspx?id=M-DC-1999-G1-EA-M-UKR-BLR-01,,Kiev,,,Indoor,Carpet,dc,dc,19990212,19990214,,,,,UKR
1999-M-DC-1999-G2-AO-M-INA-QAT-01,"Group II, Asia/Oceania",1999,M-DC-1999-G2-AO-M-INA-QAT-01,https://www.daviscup.com/en/draws-results/tie.aspx?id=M-DC-1999-G2-AO-M-INA-QAT-01,,Doha,,,Outdoor,Hard,dc,dc,19990212,19990214,,,,,QAT
1999-M-DC-1999-G2-AO-M-IRI-SRI-01,"Group II, Asia/Oceania",1999,M-DC-1999-G2-AO-M-IRI-SRI-01,https://www.daviscup.com/en/draws-results/tie.aspx?id=M-DC-1999-G2-AO-M-IRI-SRI-01,,Colombo,,,Outdoor,Clay,dc,dc,19990212,19990214,,,,,SRI
1999-M-DC-1999-G2-AO-M-KAZ-THA-01,"Group II, Asia/Oceania",1999,M-DC-1999-G2-AO-M-KAZ-THA-01,https://www.daviscup.com/en/draws-results/tie.aspx?id=M-DC-1999-G2-AO-M-KAZ-THA-01,,Nonthaburi,,,Outdoor,Hard,dc,dc,19990212,19990214,,,,,THA
1999-M-DC-1999-G2-AO-M-TPE-PHI-01,"Group II, Asia/Oceania",1999,M-DC-1999-G2-AO-M-TPE-PHI-01,https://www.daviscup.com/en/draws-results/tie.aspx?id=M-DC-1999-G2-AO-M-TPE-PHI-01,,Manila,,,Outdoor,Hard,dc,dc,19990212,19990214,,,,,PHI
1999-M-DC-1999-G1-AO-M-IND-KOR-01,"Group I, Asia/Oceania",1999,M-DC-1999-G1-AO-M-IND-KOR-01,https://www.daviscup.com/en/draws-results/tie.aspx?id=M-DC-1999-G1-AO-M-IND-KOR-01,,Sogwipo City,,,Outdoor,Hard,dc,dc,19990219,19990221,,,,,KOR
1999-M-DC-1999-G1-AMN-M-ARG-ECU-01,"Group I, American",1999,M-DC-1999-G1-AMN-M-ARG-ECU-01,https://www.daviscup.com/en/draws-results/tie.aspx?id=M-DC-1999-G1-AMN-M-ARG-ECU-01,,Salinas,,,Outdoor,Hard,dc,dc,19990402,19990404,,,,,ECU
1999-M-DC-1999-G1-AMN-M-COL-CHI-01,"Group I, American",1999,M-DC-1999-G1-AMN-M-COL-CHI-01,https://www.daviscup.com/en/draws-results/tie.aspx?id=M-DC-1999-G1-AMN-M-COL-CHI-01,,Bogota,,,Outdoor,Clay,dc,dc,19990402,19990404,,,,,COL
1999-M-DC-1999-G1-AO-M-KOR-NZL-01,"Group I, Asia/Oceania",1999,M-DC-1999-G1-AO-M-KOR-NZL-01,https://www.daviscup.com/en/draws-results/tie.aspx?id=M-DC-1999-G1-AO-M-KOR-NZL-01,,Christchurch,,,Indoor,Hard,dc,dc,19990402,19990404,,,,,NZL
1999-M-DC-1999-G1-AO-M-UZB-JPN-01,"Group I, Asia/Oceania",1999,M-DC-1999-G1-AO-M-UZB-JPN-01,https://www.daviscup.com/en/draws-results/tie.aspx?id=M-DC-1999-G1-AO-M-UZB-JPN-01,,Fukushima,,,Indoor,Carpet,dc,dc,19990402,19990404,,,,,JPN
1999-M-DC-1999-G1-AO-REL-IND-CHN-01,"Group I, Asia/Oceania, Relegation Play-off",1999,M-DC-1999-G1-AO-REL-IND-CHN-01,https://www.daviscup.com/en/draws-results/tie.aspx?id=M-DC-1999-G1-AO-REL-IND-CHN-01,,Calcutta,,,Outdoor,Grass,dc,dc,19990402,19990404,,,,,IND
1999-M-DC-1999-G1-AO-REL-PAK-LBN-01,"Group I, Asia/Oceania, Relegation Play-off",1999,M-DC-1999-G1-AO-REL-PAK-LBN-01,https://www.daviscup.com/en/draws-results/tie.aspx?id=M-DC-1999-G1-AO-REL-PAK-LBN-01,,Beirut,,,Indoor,Hard,dc,dc,19990402,19990404,,,,,LBN
1999-M-DC-1999-G1-EA-M-AUT-POR-01,"Group I, Euro/African",1999,M-DC-1999-G1-EA-M-AUT-POR-01,https://www.daviscup.com/en/draws-results/tie.aspx?id=M-DC-1999-G1-EA-M-AUT-POR-01,,Wels,,,Indoor,Clay,dc,dc,19990402,19990404,,,,,AUT
